,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2025,Player,Tm,Att,TD,%Rush,Att,TD,%Rush
2025,Christian McCaffrey,SFO,37,9,80.40%,18,8,78.30%
2025,Jonathan Taylor,IND,39,12,67.20%,19,9,61.30%
2025,Derrick Henry,BAL,40,10,76.90%,24,10,85.70%
2025,James Cook,BUF,26,6,40.60%,14,6,37.80%
2025,Travis Etienne,JAX,26,4,49.10%,11,2,40.70%
2025,Jahmyr Gibbs,DET,22,7,44.90%,9,3,39.10%
2025,Javonte Williams,DAL,28,10,57.10%,16,9,57.10%
2025,Kyren Williams,LAR,30,10,56.60%,18,8,62.10%
2025,Zach Charbonnet,SEA,31,10,64.60%,16,7,64.00%
2025,Josh Jacobs,GNB,30,10,66.70%,16,8,80.00%
2025,D'Andre Swift,CHI,24,6,46.20%,10,5,45.50%
2025,Jaylen Warren,PIT,22,4,47.80%,13,4,48.10%
2025,Saquon Barkley,PHI,24,3,50.00%,9,1,34.60%
2025,Kareem Hunt,KAN,21,8,50.00%,13,7,72.20%
2025,Chase Brown,CIN,18,5,56.30%,7,2,50.00%
2025,TreVeyon Henderson,NWE,21,5,37.50%,6,1,26.10%
2025,Kyle Monangai,CHI,19,5,36.50%,10,4,45.50%
2025,David Montgomery,DET,24,6,49.00%,14,5,60.90%
2025,Chris Rodriguez,WAS,22,6,41.50%,13,5,44.80%
2025,Woody Marks,HOU,15,1,42.90%,9,1,39.10%
2025,Bijan Robinson,ATL,17,4,42.50%,7,2,41.20%
2025,Josh Allen,BUF,22,13,34.40%,13,9,35.10%
2025,Tyler Allgeier,ATL,19,6,47.50%,7,4,41.20%
2025,Jacory Croskey-Merritt,WAS,20,5,37.70%,8,2,27.60%
2025,Ashton Jeanty,LVR,16,3,84.20%,9,3,90.00%
2025,Quinshon Judkins,CLE,18,6,54.50%,10,5,47.60%
2025,Kenneth Walker,SEA,10,3,20.80%,7,3,28.00%
2025,Rico Dowdle,CAR,13,6,46.40%,6,4,66.70%
2025,De'Von Achane,MIA,11,2,34.40%,3,1,23.10%
