,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2026,Player,Tm,Att,TD,%Rush,Att,TD,%Rush
2026,Derrick Henry,BAL,34.5,10.8,68.07%,19.1,8.7,76.51%
2026,Josh Jacobs,GNB,30.5,10.0,65.42%,15.3,8.2,72.14%
2026,Kyren Williams,LAR,29.2,10.4,61.08%,16.9,8.9,66.35%
2026,Jonathan Taylor,IND,26.3,7.6,48.01%,12.6,5.4,43.19%
2026,James Cook,BUF,24.0,6.3,39.00%,11.3,4.8,34.84%
2026,Jahmyr Gibbs,DET,23.0,7.6,41.01%,10.6,4.8,37.91%
2026,Zach Charbonnet,SEA,21.9,6.8,53.37%,11.3,4.7,49.20%
2026,Christian McCaffrey,SFO,21.8,5.6,42.73%,10.2,4.6,40.81%
2026,Bijan Robinson,ATL,20.4,6.0,47.10%,7.7,3.7,45.28%
2026,Josh Allen,BUF,19.8,11.3,32.30%,12.1,8.0,37.40%
2026,Javonte Williams,DAL,18.9,5.8,45.15%,9.9,4.4,44.37%
2026,Chase Brown,CIN,18.9,4.6,48.63%,7.6,2.7,43.14%
2026,Ashton Jeanty,LVR,18.6,3.5,69.64%,8.9,3.0,64.23%
2026,Rico Dowdle,PIT,17.5,6.6,37.48%,10.2,5.8,45.83%
2026,Quinshon Judkins,CLE,16.8,5.6,51.12%,8.3,4.1,45.46%
2026,Omarion Hampton,LAC,16.5,3.3,41.87%,5.7,1.1,30.38%
2026,Jacory Croskey-Merritt,WAS,16.1,4.0,30.54%,6.5,1.6,24.45%
2026,Rhamondre Stevenson,NWE,15.9,4.7,38.78%,9.0,3.8,49.08%
2026,Rachaad White,WAS,15.6,5.2,29.63%,9.2,4.3,34.45%
2026,Saquon Barkley,PHI,15.6,2.6,27.12%,7.0,1.8,23.14%
2026,De'Von Achane,MIA,14.5,3.1,38.86%,5.6,1.8,34.01%
2026,Jaylen Warren,PIT,14.3,2.4,30.53%,6.9,2.0,31.09%
2026,D'Andre Swift,CHI,14.2,3.1,32.40%,5.6,2.3,26.23%
2026,David Montgomery,HOU,14.2,4.3,38.41%,8.8,3.8,43.55%
2026,TreVeyon Henderson,NWE,14.1,3.4,34.28%,4.7,0.8,25.85%
2026,Ollie Gordon,MIA,13.4,3.4,35.89%,7.0,2.3,42.11%
2026,Chuba Hubbard,CAR,13.1,3.1,40.55%,5.1,2.3,35.70%
2026,Kenneth Walker,KAN,13.1,3.7,31.95%,7.8,3.0,38.14%
2026,Chris Rodriguez,JAX,12.7,3.4,27.81%,6.7,2.6,28.63%
2026,Isiah Pacheco,DET,12.5,2.5,22.20%,3.6,1.7,13.11%
