,,Inside 10,Inside 10,Inside 5,Inside 5
2026,Tm,Att,TD,Att,TD
2026,BUF,61.4,21.9,32.3,15.9
2026,PHI,57.4,16.5,30.1,12.8
2026,DET,56.2,16.9,27.8,12.2
2026,IND,54.7,17.3,29.3,13.8
2026,WAS,52.8,15.7,26.6,11.1
2026,SFO,51.1,15.1,25.0,11.6
2026,BAL,50.7,15.2,24.9,11.0
2026,LAR,47.9,13.8,25.4,12.0
2026,PIT,46.8,12.9,22.2,9.6
2026,GNB,46.6,13.5,21.2,10.7
2026,JAX,45.7,14.7,23.5,10.0
2026,CHI,43.9,11.9,21.3,10.4
2026,ATL,43.4,13.2,17.0,8.0
2026,DAL,41.9,11.7,22.2,9.9
2026,SEA,41.1,12.0,23.0,9.0
2026,NWE,41.0,11.4,18.2,6.2
2026,KAN,41.0,11.0,20.4,8.6
2026,NYG,40.9,12.2,20.8,9.1
2026,LAC,39.4,9.8,18.8,7.7
2026,CIN,38.9,9.5,17.7,6.6
2026,MIA,37.4,9.6,16.5,6.8
2026,HOU,37.0,6.8,20.1,4.7
2026,NOR,35.3,7.4,13.1,5.2
2026,DEN,34.2,10.9,16.9,7.1
2026,TAM,33.1,10.7,17.4,7.7
2026,ARI,33.0,10.0,16.5,7.8
2026,CLE,32.8,9.3,18.2,8.2
2026,CAR,32.3,10.1,14.2,7.3
2026,MIN,29.1,8.9,14.7,6.7
2026,TEN,28.0,7.7,11.4,5.0
2026,LVR,26.7,5.8,13.9,5.2
2026,NYJ,21.0,5.7,6.5,3.2
