week,date,manager,team,player,position,nfl_team,bid,result,fail_reason,dropped,roster_id,transaction_id
1,2026-08-31 19:52,colinjhannah,Not winning w/ these RBs,Tim Patrick,WR,NYJ,1,won,,Jaydon Blue,15,1400301192428392448
1,2026-08-31 19:52,colinjhannah,Not winning w/ these RBs,Mike Gesicki,TE,CIN,1,won,,,15,1400301263463186432
1,2026-09-01 08:48,FlashUrTDs,Gutta’s Goon Squad,Jacob Saylors,RB,DET,1,won,,Kevin Coleman,5,1400496558243377152
1,2026-09-03 13:21,emloose,The Browns ,Darnell Mooney,WR,NYG,1,lost,roster_full,,10,1401290063593078784
1,2026-09-03 13:22,emloose,The Browns ,Samaje Perine,RB,CIN,2,won,,,10,1401290173278392320
1,2026-09-07 16:14,greggy2ships,Heads Will DaBOLL,James Conner,RB,ARI,1,won,,,9,1402783190057222144
1,2026-09-08 12:51,dylan1990692,The Ghost of Whopper Jr.,Roschon Johnson,RB,CHI,2,won,,Dohnte Meyers,8,1403094490922676224
1,2026-09-08 18:00,colinjhannah,Not winning w/ these RBs,Roschon Johnson,RB,CHI,1,lost,outbid,,15,1403172095189348352
1,2026-09-09 23:54,BobbyStabs,Blobby Sabs,Michael Mayer,TE,LV,3,won,,Mason Taylor,12,1403623660090085376
1,2026-09-12 21:37,greggy2ships,Heads Will DaBOLL,Emari Demercado,RB,DAL,2,won,,James Conner,9,1404676391819132928
