Team,Player,Odds
ARI Cardinals,Jeremiyah Love,-110
ARI Cardinals,Trey McBride,+275
ARI Cardinals,Marvin Harrison Jr.,+450
ARI Cardinals,Michael Wilson,+1100
ARI Cardinals,Tyler Allgeier,+2000
ARI Cardinals,Kendrick Bourne,+5000
ARI Cardinals,Jacoby Brissett,+20000
ATL Falcons,Bijan Robinson,-295
ATL Falcons,Drake London,+275
ATL Falcons,Kyle Pitts,+1200
ATL Falcons,Jahan Dotson,+3000
ATL Falcons,Brian Robinson Jr.,+3500
ATL Falcons,Olamide Zaccheaus,+5000
ATL Falcons,Zachariah Branch,+8000
ATL Falcons,Michael Penix Jr.,+15000
ATL Falcons,Tua Tagovailoa,+30000
BAL Ravens,Derrick Henry,-500
BAL Ravens,Zay Flowers,+800
BAL Ravens,Mark Andrews,+800
BAL Ravens,Lamar Jackson,+2500
BAL Ravens,Ja'Kobi Lane,+3000
BAL Ravens,Rashod Bateman,+4000
BAL Ravens,Justice Hill,+10000
BAL Ravens,Devontez Walker,+10000
BUF Bills,James Cook,-135
BUF Bills,Josh Allen,+130
BUF Bills,D.J. Moore,+1500
BUF Bills,Khalil Shakir,+5000
BUF Bills,Dalton Kincaid,+5000
BUF Bills,Keon Coleman,+7500
BUF Bills,Ray Davis,+10000
BUF Bills,Josh Palmer,+10000
BUF Bills,Dawson Knox,+10000
BUF Bills,Ty Johnson,+15000
CAR Panthers,Tetairoa McMillan,+200
CAR Panthers,Chuba Hubbard,+200
CAR Panthers,Jonathan Brooks,+250
CAR Panthers,Jalen Coker,+1000
CAR Panthers,Darren Waller,+1000
CAR Panthers,Xavier Legette,+2500
CAR Panthers,Tommy Tremble,+10000
CAR Panthers,John Metchie III,+10000
CAR Panthers,Bryce Young,+10000
CHI Bears,D'Andre Swift,+175
CHI Bears,Luther Burden III,+350
CHI Bears,Colston Loveland,+400
CHI Bears,Rome Odunze,+450
CHI Bears,Kyle Monangai,+450
CHI Bears,Caleb Williams,+2500
CHI Bears,Cole Kmet,+5000
CHI Bears,Zavion Thomas,+6500
CHI Bears,Kalif Raymond,+6500
CHI Bears,Jahdae Walker,+10000
CIN Bengals,Ja'Marr Chase,+100
CIN Bengals,Chase Brown,+150
CIN Bengals,Tee Higgins,+500
CIN Bengals,Mike Gesicki,+4000
CIN Bengals,Andrei Iosivas,+6000
CIN Bengals,Drew Sample,+10000
CIN Bengals,Colbie Young,+10000
CIN Bengals,Joe Burrow,+15000
CLE Browns,Quinshon Judkins,-250
CLE Browns,Harold Fannin Jr.,+550
CLE Browns,KC Concepcion,+900
CLE Browns,Jerry Jeudy,+1000
CLE Browns,Denzel Boston,+1200
CLE Browns,Dylan Sampson,+2000
CLE Browns,Isaiah Bond,+5000
CLE Browns,Malachi Corley,+8000
CLE Browns,Deshaun Watson,+20000
DAL Cowboys,Javonte Williams,+110
DAL Cowboys,CeeDee Lamb,+225
DAL Cowboys,George Pickens,+350
DAL Cowboys,Jake Ferguson,+1000
DAL Cowboys,Ryan Flournoy,+5000
DAL Cowboys,Malik Davis,+5000
DAL Cowboys,Jonathan Mingo,+6000
DAL Cowboys,KaVontae Turpin,+8000
DAL Cowboys,Luke Schoonmaker,+10000
DAL Cowboys,Brevyn Spann-Ford,+10000
DAL Cowboys,Dak Prescott,+15000
DAL Cowboys,Hunter Luepke,+20000
DEN Broncos,J.K. Dobbins,+175
DEN Broncos,Jaylen Waddle,+275
DEN Broncos,Courtland Sutton,+275
DEN Broncos,RJ Harvey,+550
DEN Broncos,Evan Engram,+2000
DEN Broncos,Bo Nix,+2500
DEN Broncos,Troy Franklin,+3000
DEN Broncos,Pat Bryant,+3000
DEN Broncos,Marvin Mims,+10000
DEN Broncos,Adam Trautman,+10000
DET Lions,Jahmyr Gibbs,-500
DET Lions,Amon-Ra St. Brown,+450
DET Lions,Jameson Williams,+900
DET Lions,Sam LaPorta,+2000
DET Lions,Isaac TeSlaa,+3000
DET Lions,Jacob Saylors,+4000
DET Lions,Sione Vaki,+6500
DET Lions,Tay Martin,+10000
DET Lions,Jared Goff,+20000
HOU Texans,David Montgomery,-145
HOU Texans,Nico Collins,+165
